tsr_no,wideip,service_type,lb_mode,resumemethod,failovermethod,pool1_1_monitorname,pool1_1_monitorport,pool1_1_monitorhost,pool1_1_monitorurl,pool1_1_poolname,pool1_1_server_name,pool1_1_vs_name,pool1_1_vs_ip,pool1_1_vs_port,pool1_1_data_center,pool2_1_monitorname,pool2_1_monitorport,pool2_1_monitorhost,pool2_1_monitorurl,pool2_1_poolname,pool2_1_server_name,pool2_1_vs_name,pool2_1_vs_ip,pool2_1_vs_port,pool2_1_data_center,number_of_pools_in_wideip,number_of_servers_in_pool,PythonStatus,CreatedDate
RID-00001,aiops-chatops-redis-aiops-corp-chatops-sit.tstcld1.hadev.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_HKCH_hadev,srv_tstcld61_hadev_nonhttp,srv_tstcld61_hadev_30020,160.200.147.89,30020.0,,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_DC7_hadev,srv_tstcld62_mini_hadev_nonhttp,srv_tstcld62_mini_hadev_30020,160.200.198.217,30020.0,,2.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,aiops-chatops-redis-aiops-corp-chatops-lpt.tstcld1.ha.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-lpt_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30021,160.200.147.41,30021.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,aiops-chatops-redis-aiops-corp-chatops-lpt.tstcld1.hadev.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-lpt_HKCH_hadev,srv_tstcld61_hadev_nonhttp,srv_tstcld61_hadev_30021,160.200.147.89,30021.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,epr2-sit.home.tstcld1.ha.org.hk,haremote,round-robin,Auto,Auto,monHttp_epr2-sit_OCP4,443.0,epr2-sit.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-sit_OCP4_HKCH_home,srv_tstcldhome61_epr2-sit,srv_tstcldhome61_epr2-sit_443,160.x.x.1,443.0,dc_HKCH,monHttp_epr2-sit_OCP4,443.0,epr2-sit.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-sit_OCP4_DC7_home,srv_tstcldhome62_epr2-sit,srv_tstcldhome62_epr2-sit_443,160.x.x.2,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,epr2-dev.home.tstcld1.ha.org.hk,haremote,round-robin,Auto,Auto,monHttp_epr2-dev_OCP4,443.0,epr2-dev.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-dev_OCP4_HKCH_home,srv_tstcldhome61_epr2-dev,srv_tstcldhome61_epr2-dev_443,160.x.x.3,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,lxp-app-sit.tstcld1.ha.org.hk,internetsecuritygw,round-robin,Auto,Auto,monHttp_lxp-app-sit_OCP4,443.0,lxp-app-sit.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-sit_OCP4_HKCH,srv_tstcldhome61_lxp-app-sit,srv_tstcldhome61_lxp-app-sit_443,160.x.x.4,443.0,dc_HKCH,monHttp_lxp-app-sit_OCP4,443.0,lxp-app-sit.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-sit_OCP4_DC7,srv_tstcldhome62_lxp-app-sit,srv_tstcldhome62_lxp-app-sit_443,160.x.x.5,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,lxp-app-dev.tstcld1.ha.org.hk,internetsecuritygw,round-robin,Auto,Auto,monHttp_lxp-app-dev_OCP4,443.0,lxp-app-dev.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-dev_OCP4_HKCH,srv_tstcldhome61_lxp-app-dev,srv_tstcldhome61_lxp-app-dev_443,160.x.x.6,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,eai-mllp-integrationsuite5-sit.tstcld1.ha.org.hk,mllp,round-robin,Auto,Auto,,,,,pool_eai-mllp-integrationsuite5-sit_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30040,160.200.147.41,30040.0,,,,,,pool_eai-mllp-integrationsuite5-sit_DC7,srv_tstcld62_nonhttp,srv_tstcld62_30040,160.200.198.169,30040.0,,2.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,eai-mllp-integrationsuite6-dev.tstcld1.ha.org.hk,mllp,round-robin,Auto,Auto,,,,,pool_eai-mllp-integrationsuite6-dev_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30041,160.200.147.41,30041.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,pbrcdashboard-aat.home.tstcld1.ha.org.hk,dothome,round-robin,Auto,Auto,monHttp_pbrcdashboard-aat_OCP4,443.0,pbrcdashboard-aat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-aat_OCP4_HKCH_home,srv_tstcldhome61_pbrcdashboard-aat,srv_tstcldhome61_pbrcdashboard-aat_443,160.x.x.7,443.0,dc_HKCH,monHttp_pbrcdashboard-aat_OCP4,443.0,pbrcdashboard-aat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-aat_OCP4_DC7_home,srv_tstcldhome62_pbrcdashboard-aat,srv_tstcldhome62_pbrcdashboard-aat_443,160.x.x.8,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,pbrcdashboard-uat.home.tstcld1.ha.org.hk,dothome,round-robin,Auto,Auto,monHttp_pbrcdashboard-uat_OCP4,443.0,pbrcdashboard-uat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-uat_OCP4_HKCH_home,srv_tstcldhome61_pbrcdashboard-uat,srv_tstcldhome61_pbrcdashboard-uat_443,160.x.x.9,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00002,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,cluster_cloud_prd_only,global-availability,Auto,Auto,monHttp_t6-ocpcloud-app-prd_ntwc,443.0,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_TSH_ClusterCloud,srv_prdtsh_cluster,srv_prdtsh_cluster_443,,443.0,,monHttp_t6-ocpcloud-app-prd_ntwc,443.0,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_TSHDC6_ClusterCloud,srv_prdtsh_ha,srv_prdtsh_ha_443,,443.0,,2.0,1.0,YMLSkipped,2023-12-29 17:09
RID-00002,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,cluster_cloud_prd_only,round-robin,Auto,Auto,monHttp_t6-ocpcloud-app-prd_kcc,443.0,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_QEH_ClusterCloud,srv_prdqeh_cluster,srv_prdqeh_cluster_443,,443.0,,monHttp_t6-ocpcloud-app-prd_kcc,443.0,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_KWH_ClusterCloud,srv_prdkwh_cluster,srv_prdkwh_cluster_443,,443.0,,2.0,1.0,YMLSkipped,2023-12-29 17:09
RID-00003,ocpcloud-mon1-svc-ocpcloud-utility-nonprd.tstdmz.hadev.org.hk,dmzcloud,round-robin,Auto,Auto,monHttps_ocpcloud-mon1-svc-ocpcloud-utility-nonprd_hadev_OCP4,443.0,ocpcloud-mon1-svc-ocpcloud-utility-nonprd.tstdmz.hadev.org.hk,/healthcheck,pool_ocpcloud-mon1-svc-ocpcloud-utility-nonprd_OCP4_dmzDC6f_hadev,srv_tstdmz1_ocpcloud-mon1-svc-ocpcloud-utility-nonprd_hadev,srv_tstdmz1_ocpcloud-mon1-svc-ocpcloud-utility-nonprd_hadev_443,192.x.x.1,443.0,dc_dmzDC6f,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00003,ocpcloud-mon2-svc-ocpcloud-utility-nonprd.tstdmz.hadev.org.hk,dmzcloud,round-robin,Auto,Auto,monHttps_ocpcloud-mon2-svc-ocpcloud-utility-nonprd_hadev_OCP4,443.0,ocpcloud-mon2-svc-ocpcloud-utility-nonprd.tstdmz.hadev.org.hk,/healthcheck,pool_ocpcloud-mon2-svc-ocpcloud-utility-nonprd_OCP4_dmzDC6f_hadev,srv_tstdmz1_ocpcloud-mon2-svc-ocpcloud-utility-nonprd_hadev,srv_tstdmz1_ocpcloud-mon2-svc-ocpcloud-utility-nonprd_hadev_443,192.x.x.2,443.0,dc_dmzDC6f,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:09
RID-00001,eap-svc-cmdbrest-app-dev.tstcld1.ha.org.hk,webservice,round-robin,Auto,Auto,monHttp_eap-svc-cmdbrest-app-dev_OCP4,8080.0,eap-svc-cmdbrest-app-dev.tstcld1.ha.org.hk,/healthcheck,pool_eap-svc-cmdbrest-app-dev_HKCH,srv_tstcld61,srv_tstcld61_443,160.200.147.17,443.0,,monHttp_eap-svc-cmdbrest-app-dev_OCP4,8080.0,eap-svc-cmdbrest-app-dev.tstcld1.ha.org.hk,/healthcheck,pool_eap-svc-cmdbrest-app-dev_DC7,srv_tstcld62,srv_tstcld62_443,160.200.198.145,443.0,,2.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00001,eap-svc-cmdbrest-app-sit.tstcld1.ha.org.hk,webservice,round-robin,Auto,Auto,monHttp_eap-svc-cmdbrest-app-sit_OCP4,8080.0,eap-svc-cmdbrest-app-sit.tstcld1.ha.org.hk,/healthcheck,pool_eap-svc-cmdbrest-app-sit_HKCH,srv_tstcld61,srv_tstcld61_443,160.200.147.17,443.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00001,aiops-chatops-redis-aiops-corp-chatops-sit.tstcld1.ha.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30020,160.200.147.41,30020.0,,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_DC7,srv_tstcld62_mini_nonhttp,srv_tstcld62_mini_30020,160.200.198.169,30020.0,,2.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00001,aiops-chatops-redis-aiops-corp-chatops-sit.tstcld1.hadev.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_HKCH_hadev,srv_tstcld61_hadev_nonhttp,srv_tstcld61_hadev_30020,160.200.147.89,30020.0,,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_DC7_hadev,srv_tstcld62_mini_hadev_nonhttp,srv_tstcld62_mini_hadev_30020,160.200.198.217,30020.0,,2.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,aiops-chatops-redis-aiops-corp-chatops-lpt.tstcld1.ha.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-lpt_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30021,160.200.147.41,30021.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,aiops-chatops-redis-aiops-corp-chatops-lpt.tstcld1.hadev.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-lpt_HKCH_hadev,srv_tstcld61_hadev_nonhttp,srv_tstcld61_hadev_30021,160.200.147.89,30021.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,epr2-sit.home.tstcld1.ha.org.hk,haremote,round-robin,Auto,Auto,monHttp_epr2-sit_OCP4,443.0,epr2-sit.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-sit_OCP4_HKCH_home,srv_tstcldhome61_epr2-sit,srv_tstcldhome61_epr2-sit_443,160.x.x.1,443.0,dc_HKCH,monHttp_epr2-sit_OCP4,443.0,epr2-sit.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-sit_OCP4_DC7_home,srv_tstcldhome62_epr2-sit,srv_tstcldhome62_epr2-sit_443,160.x.x.2,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,epr2-dev.home.tstcld1.ha.org.hk,haremote,round-robin,Auto,Auto,monHttp_epr2-dev_OCP4,443.0,epr2-dev.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-dev_OCP4_HKCH_home,srv_tstcldhome61_epr2-dev,srv_tstcldhome61_epr2-dev_443,160.x.x.3,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,lxp-app-sit.tstcld1.ha.org.hk,internetsecuritygw,round-robin,Auto,Auto,monHttp_lxp-app-sit_OCP4,443.0,lxp-app-sit.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-sit_OCP4_HKCH,srv_tstcldhome61_lxp-app-sit,srv_tstcldhome61_lxp-app-sit_443,160.x.x.4,443.0,dc_HKCH,monHttp_lxp-app-sit_OCP4,443.0,lxp-app-sit.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-sit_OCP4_DC7,srv_tstcldhome62_lxp-app-sit,srv_tstcldhome62_lxp-app-sit_443,160.x.x.5,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,lxp-app-dev.tstcld1.ha.org.hk,internetsecuritygw,round-robin,Auto,Auto,monHttp_lxp-app-dev_OCP4,443.0,lxp-app-dev.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-dev_OCP4_HKCH,srv_tstcldhome61_lxp-app-dev,srv_tstcldhome61_lxp-app-dev_443,160.x.x.6,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,eai-mllp-integrationsuite5-sit.tstcld1.ha.org.hk,mllp,round-robin,Auto,Auto,,,,,pool_eai-mllp-integrationsuite5-sit_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30040,160.200.147.41,30040.0,,,,,,pool_eai-mllp-integrationsuite5-sit_DC7,srv_tstcld62_nonhttp,srv_tstcld62_30040,160.200.198.169,30040.0,,2.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,eai-mllp-integrationsuite6-dev.tstcld1.ha.org.hk,mllp,round-robin,Auto,Auto,,,,,pool_eai-mllp-integrationsuite6-dev_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30041,160.200.147.41,30041.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,pbrcdashboard-aat.home.tstcld1.ha.org.hk,dothome,round-robin,Auto,Auto,monHttp_pbrcdashboard-aat_OCP4,443.0,pbrcdashboard-aat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-aat_OCP4_HKCH_home,srv_tstcldhome61_pbrcdashboard-aat,srv_tstcldhome61_pbrcdashboard-aat_443,160.x.x.7,443.0,dc_HKCH,monHttp_pbrcdashboard-aat_OCP4,443.0,pbrcdashboard-aat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-aat_OCP4_DC7_home,srv_tstcldhome62_pbrcdashboard-aat,srv_tstcldhome62_pbrcdashboard-aat_443,160.x.x.8,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,pbrcdashboard-uat.home.tstcld1.ha.org.hk,dothome,round-robin,Auto,Auto,monHttp_pbrcdashboard-uat_OCP4,443.0,pbrcdashboard-uat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-uat_OCP4_HKCH_home,srv_tstcldhome61_pbrcdashboard-uat,srv_tstcldhome61_pbrcdashboard-uat_443,160.x.x.9,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00002,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,cluster_cloud_prd_only,global-availability,Auto,Auto,monHttp_t6-ocpcloud-app-prd_ntwc,443.0,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_TSH_ClusterCloud,srv_prdtsh_cluster,srv_prdtsh_cluster_443,,443.0,,monHttp_t6-ocpcloud-app-prd_ntwc,443.0,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_TSHDC6_ClusterCloud,srv_prdtsh_ha,srv_prdtsh_ha_443,,443.0,,2.0,1.0,YMLSkipped,2023-12-29 17:17
RID-00002,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,cluster_cloud_prd_only,round-robin,Auto,Auto,monHttp_t6-ocpcloud-app-prd_kcc,443.0,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_QEH_ClusterCloud,srv_prdqeh_cluster,srv_prdqeh_cluster_443,,443.0,,monHttp_t6-ocpcloud-app-prd_kcc,443.0,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_KWH_ClusterCloud,srv_prdkwh_cluster,srv_prdkwh_cluster_443,,443.0,,2.0,1.0,YMLSkipped,2023-12-29 17:17
RID-00003,ocpcloud-mon1-svc-ocpcloud-utility-nonprd.tstdmz.hadev.org.hk,dmzcloud,round-robin,Auto,Auto,monHttps_ocpcloud-mon1-svc-ocpcloud-utility-nonprd_hadev_OCP4,443.0,ocpcloud-mon1-svc-ocpcloud-utility-nonprd.tstdmz.hadev.org.hk,/healthcheck,pool_ocpcloud-mon1-svc-ocpcloud-utility-nonprd_OCP4_dmzDC6f_hadev,srv_tstdmz1_ocpcloud-mon1-svc-ocpcloud-utility-nonprd_hadev,srv_tstdmz1_ocpcloud-mon1-svc-ocpcloud-utility-nonprd_hadev_443,192.x.x.1,443.0,dc_dmzDC6f,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00003,ocpcloud-mon2-svc-ocpcloud-utility-nonprd.tstdmz.hadev.org.hk,dmzcloud,round-robin,Auto,Auto,monHttps_ocpcloud-mon2-svc-ocpcloud-utility-nonprd_hadev_OCP4,443.0,ocpcloud-mon2-svc-ocpcloud-utility-nonprd.tstdmz.hadev.org.hk,/healthcheck,pool_ocpcloud-mon2-svc-ocpcloud-utility-nonprd_OCP4_dmzDC6f_hadev,srv_tstdmz1_ocpcloud-mon2-svc-ocpcloud-utility-nonprd_hadev,srv_tstdmz1_ocpcloud-mon2-svc-ocpcloud-utility-nonprd_hadev_443,192.x.x.2,443.0,dc_dmzDC6f,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:17
RID-00001,eap-svc-cmdbrest-app-dev.tstcld1.ha.org.hk,webservice,round-robin,Auto,Auto,monHttp_eap-svc-cmdbrest-app-dev_OCP4,8080.0,eap-svc-cmdbrest-app-dev.tstcld1.ha.org.hk,/healthcheck,pool_eap-svc-cmdbrest-app-dev_HKCH,srv_tstcld61,srv_tstcld61_443,160.200.147.17,443.0,,monHttp_eap-svc-cmdbrest-app-dev_OCP4,8080.0,eap-svc-cmdbrest-app-dev.tstcld1.ha.org.hk,/healthcheck,pool_eap-svc-cmdbrest-app-dev_DC7,srv_tstcld62,srv_tstcld62_443,160.200.198.145,443.0,,2.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00001,eap-svc-cmdbrest-app-sit.tstcld1.ha.org.hk,webservice,round-robin,Auto,Auto,monHttp_eap-svc-cmdbrest-app-sit_OCP4,8080.0,eap-svc-cmdbrest-app-sit.tstcld1.ha.org.hk,/healthcheck,pool_eap-svc-cmdbrest-app-sit_HKCH,srv_tstcld61,srv_tstcld61_443,160.200.147.17,443.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00001,aiops-chatops-redis-aiops-corp-chatops-sit.tstcld1.ha.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30020,160.200.147.41,30020.0,,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_DC7,srv_tstcld62_mini_nonhttp,srv_tstcld62_mini_30020,160.200.198.169,30020.0,,2.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00001,aiops-chatops-redis-aiops-corp-chatops-sit.tstcld1.hadev.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_HKCH_hadev,srv_tstcld61_hadev_nonhttp,srv_tstcld61_hadev_30020,160.200.147.89,30020.0,,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-sit_DC7_hadev,srv_tstcld62_mini_hadev_nonhttp,srv_tstcld62_mini_hadev_30020,160.200.198.217,30020.0,,2.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,aiops-chatops-redis-aiops-corp-chatops-lpt.tstcld1.ha.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-lpt_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30021,160.200.147.41,30021.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,aiops-chatops-redis-aiops-corp-chatops-lpt.tstcld1.hadev.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_aiops-chatops-redis-aiops-corp-chatops-lpt_HKCH_hadev,srv_tstcld61_hadev_nonhttp,srv_tstcld61_hadev_30021,160.200.147.89,30021.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,epr2-sit.home.tstcld1.ha.org.hk,haremote,round-robin,Auto,Auto,monHttp_epr2-sit_OCP4,443.0,epr2-sit.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-sit_OCP4_HKCH_home,srv_tstcldhome61_epr2-sit,srv_tstcldhome61_epr2-sit_443,160.x.x.1,443.0,dc_HKCH,monHttp_epr2-sit_OCP4,443.0,epr2-sit.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-sit_OCP4_DC7_home,srv_tstcldhome62_epr2-sit,srv_tstcldhome62_epr2-sit_443,160.x.x.2,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,epr2-dev.home.tstcld1.ha.org.hk,haremote,round-robin,Auto,Auto,monHttp_epr2-dev_OCP4,443.0,epr2-dev.home.tstcld1.ha.org.hk,/healthcheck,pool_epr2-dev_OCP4_HKCH_home,srv_tstcldhome61_epr2-dev,srv_tstcldhome61_epr2-dev_443,160.x.x.3,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,lxp-app-sit.tstcld1.ha.org.hk,internetsecuritygw,round-robin,Auto,Auto,monHttp_lxp-app-sit_OCP4,443.0,lxp-app-sit.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-sit_OCP4_HKCH,srv_tstcldhome61_lxp-app-sit,srv_tstcldhome61_lxp-app-sit_443,160.x.x.4,443.0,dc_HKCH,monHttp_lxp-app-sit_OCP4,443.0,lxp-app-sit.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-sit_OCP4_DC7,srv_tstcldhome62_lxp-app-sit,srv_tstcldhome62_lxp-app-sit_443,160.x.x.5,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,lxp-app-dev.tstcld1.ha.org.hk,internetsecuritygw,round-robin,Auto,Auto,monHttp_lxp-app-dev_OCP4,443.0,lxp-app-dev.tstcld1.ha.org.hk,/status/healthcheck,pool_lxp-app-dev_OCP4_HKCH,srv_tstcldhome61_lxp-app-dev,srv_tstcldhome61_lxp-app-dev_443,160.x.x.6,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,eai-mllp-integrationsuite5-sit.tstcld1.ha.org.hk,mllp,round-robin,Auto,Auto,,,,,pool_eai-mllp-integrationsuite5-sit_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30040,160.200.147.41,30040.0,,,,,,pool_eai-mllp-integrationsuite5-sit_DC7,srv_tstcld62_nonhttp,srv_tstcld62_30040,160.200.198.169,30040.0,,2.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,eai-mllp-integrationsuite6-dev.tstcld1.ha.org.hk,mllp,round-robin,Auto,Auto,,,,,pool_eai-mllp-integrationsuite6-dev_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_30041,160.200.147.41,30041.0,,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,pbrcdashboard-aat.home.tstcld1.ha.org.hk,dothome,round-robin,Auto,Auto,monHttp_pbrcdashboard-aat_OCP4,443.0,pbrcdashboard-aat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-aat_OCP4_HKCH_home,srv_tstcldhome61_pbrcdashboard-aat,srv_tstcldhome61_pbrcdashboard-aat_443,160.x.x.7,443.0,dc_HKCH,monHttp_pbrcdashboard-aat_OCP4,443.0,pbrcdashboard-aat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-aat_OCP4_DC7_home,srv_tstcldhome62_pbrcdashboard-aat,srv_tstcldhome62_pbrcdashboard-aat_443,160.x.x.8,443.0,dc_DC7,2.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,pbrcdashboard-uat.home.tstcld1.ha.org.hk,dothome,round-robin,Auto,Auto,monHttp_pbrcdashboard-uat_OCP4,443.0,pbrcdashboard-uat.home.tstcld1.ha.org.hk,/healthcheck,pool_pbrcdashboard-uat_OCP4_HKCH_home,srv_tstcldhome61_pbrcdashboard-uat,srv_tstcldhome61_pbrcdashboard-uat_443,160.x.x.9,443.0,dc_HKCH,,,,,,,,,,,1.0,1.0,YMLUploaded,2023-12-29 17:20
RID-00002,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,cluster_cloud_prd_only,global-availability,Auto,Auto,monHttp_t6-ocpcloud-app-prd_ntwc,443.0,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_TSH_ClusterCloud,srv_prdtsh_cluster,srv_prdtsh_cluster_443,,443.0,,monHttp_t6-ocpcloud-app-prd_ntwc,443.0,t6-ocpcloud-app-prd.prdntwc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_TSHDC6_ClusterCloud,srv_prdtsh_ha,srv_prdtsh_ha_443,,443.0,,2.0,1.0,YMLSkipped,2023-12-29 17:20
RID-00002,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,cluster_cloud_prd_only,round-robin,Auto,Auto,monHttp_t6-ocpcloud-app-prd_kcc,443.0,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_QEH_ClusterCloud,srv_prdqeh_cluster,srv_prdqeh_cluster_443,,443.0,,monHttp_t6-ocpcloud-app-prd_kcc,443.0,t6-ocpcloud-app-prd.prdkcc.ha.org.hk,/healthcheck,pool_t6-ocpcloud-app-prd_KWH_ClusterCloud,srv_prdkwh_cluster,srv_prdkwh_cluster_443,,443.0,,2.0,1.0,YMLSkipped,2023-12-29 17:20
